Sample name,depth,chloride,sulfate,methane,δ13CCH4,C2H6,C3H8,C4H10,δ13CDIC,DIC,TN(%),TS(%),TOC(%),TIC(%)
DSZ01-C1-01-082813,20,212.5 ,1.23 ,0.23 ,NA,NA,NA,NA,NA,NA,0.0265 ,0.2107 ,0.5945 ,1.0627 
DSZ01-C1-02-082813,18,98.5 ,0.91 ,0.60 ,NA,NA,NA,NA,NA,NA,0.0297 ,0.1820 ,0.5580 ,0.8820 
DSZ01-C1-03-082813,15.75,236.6 ,2.45 ,0.14 ,NA,NA,NA,NA,NA,NA,0.0308 ,0.1485 ,0.4770 ,0.8012 
DSZ01-C1-04-082813,13.5,210.2 ,0.56 ,0.00 ,NA,NA,NA,NA,NA,NA,0.0535 ,0.1557 ,0.5859 ,0.9919 
DSZ01-C1-05-082813,11.5,224.8 ,0.57 ,0.34 ,NA,NA,NA,NA,NA,NA,0.0665 ,0.1375 ,0.6743 ,1.1547 
DSZ01-C1-06-082813,9.5,210.1 ,0.59 ,0.38 ,NA,NA,NA,NA,NA,NA,0.0530 ,0.0985 ,0.5713 ,1.2580 
DSZ01-C1-07-082813,7.5,223.9 ,1.89 ,0.45 ,NA,NA,NA,NA,NA,NA,0.0575 ,0.0667 ,0.5365 ,1.1760 
DSZ01-C1-08-082813,5.5,229.8 ,4.60 ,0.44 ,NA,NA,NA,NA,NA,NA,0.0425 ,0.0995 ,0.5088 ,1.1416 
DSZ01-C1-09-082813,3.5,227.4 ,7.63 ,0.49 ,NA,NA,NA,NA,NA,NA,0.0440 ,0.1620 ,0.5466 ,1.1014 
DSZ01-C1-10-082813,1.25,245.5 ,16.51 ,0.28 ,NA,NA,NA,NA,NA,NA,0.0477 ,0.1218 ,0.5356 ,1.0277
DSZ01-ew-082813,0,354.7 ,49.54 ,0.00 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
