X1,X2,geodist
AK03_C1_01,AK03_C1_04,7.50E-05
AK03_C1_01,AK03_C1_08,1.80E-04
AK03_C1_01,AK03_C1_12,2.80E-04
AK03_C1_01,AK03_C1_13,3.05E-04
AK03_C1_01,AK03_C1_16,3.80E-04
AK03_C1_01,AK03_C1_19,4.55E-04
AK03_C1_01,AK03_C1_ew,0.0004775
AK03_C1_01,AR01_C1_01,2802.714911
AK03_C1_01,AR01_C1_02,2802.714911
AK03_C1_01,AR01_C1_05,2802.714911
AK03_C1_01,AR01_C1_09,2802.714911
AK03_C1_01,AR01_C1_13,2802.714911
AK03_C1_01,AR01_C1_17,2802.714911
AK03_C1_01,AR01_C1_18,2802.714911
AK03_C1_01,AR01_C1_19,2802.714911
AK03_C1_01,AR01_C1_22,2802.714911
AK03_C1_01,AR01_C1_ew,2802.714911
AK03_C1_01,COM01_C1_01,2795.941894
AK03_C1_01,COM01_C1_02,2795.941894
AK03_C1_01,COM01_C1_04,2795.941894
AK03_C1_01,COM01_C1_05,2795.941894
AK03_C1_01,COM01_C1_08,2795.941894
AK03_C1_01,COM01_C1_11,2795.941894
AK03_C1_01,COM01_C1_14,2795.941894
AK03_C1_01,COM01_C1_15,2795.941894
AK03_C1_01,COM01_C1_17,2795.941894
AK03_C1_01,COM01_C1_18,2795.941894
AK03_C1_01,COM01_ew1,2795.941894
AK03_C1_01,DSZ01_C1_01,3167.803796
AK03_C1_01,DSZ01_C1_02,3167.803796
AK03_C1_01,DSZ01_C1_03,3167.803796
AK03_C1_01,DSZ01_C1_06,3167.803796
AK03_C1_01,DSZ01_C1_08,3167.803796
AK03_C1_01,DSZ01_C1_10,3167.803796
AK03_C1_01,DSZ01_ew,3167.803796
AK03_C1_01,GG01_C1_0,873.3551564
AK03_C1_01,GG01_C1_02,873.3551564
AK03_C1_01,GG01_C1_06,873.3551564
AK03_C1_01,GG01_C1_13,873.3551564
AK03_C1_01,GG01_C1_19,873.3551564
AK03_C1_01,GJ01_C1_01,37.55497253
AK03_C1_01,GJ01_C1_05,37.55497253
AK03_C1_01,GJ01_C1_11,37.55497253
AK03_C1_01,GJ01_C1_15,37.55497253
AK03_C1_01,GJ01_C1_17,37.55497253
AK03_C1_01,GJ01_C1_18,37.55497253
AK03_C1_01,GJ01_C1_ew01,37.55497253
AK03_C1_01,LGH03_C4_01,7162.531014
AK03_C1_01,LGH03_C4_02,7162.531014
AK03_C1_01,LGH03_C4_03,7162.531014
AK03_C1_01,LGH03_C4_04,7162.531014
AK03_C1_01,LGH03_C4_06,7162.531014
AK03_C1_01,LGH03_C4_10,7162.531014
AK03_C1_01,LGH03_C4_14,7162.531014
AK03_C1_01,LGH03_C4_18,7162.531014
AK03_C1_01,LGH03_C4_30,7162.531014
AK03_C1_01,LGH03_C4_34,7162.531014
AK03_C1_01,LGH03_C4_40,7162.531014
AK03_C1_01,LGH03_C4_ew,7162.531014
AK03_C1_01,PA01_C1_01,2687.74924
AK03_C1_01,PA01_C1_05,2687.74924
AK03_C1_01,PA01_C1_09,2687.74924
AK03_C1_01,PA01_C1_12,2687.74924
AK03_C1_01,PA01_C1_13,2687.74924
AK03_C1_01,PA01_C1_15,2687.74924
AK03_C1_01,PA01_C1_16,2687.74924
AK03_C1_01,PA01_C1_18,2687.74924
AK03_C1_01,PA02_C1_01,2687.74924
AK03_C1_01,PA02_C1_04,2687.74924
AK03_C1_01,PA02_C1_07,2687.74924
AK03_C1_01,PA02_C1_11,2687.74924
AK03_C1_01,PA02_C1_14,2687.74924
AK03_C1_01,PA02_C1_16,2687.74924
AK03_C1_01,PA02_C1_ew,2687.74924
AK03_C1_01,QK01_C1_01,17.06004842
AK03_C1_01,QK01_C1_04,17.06004842
AK03_C1_01,QK01_C1_08,17.06004842
AK03_C1_01,QK01_C1_12,17.06004842
AK03_C1_01,QK01_C1_13,17.06004842
AK03_C1_01,QK01_C1_14,17.06004842
AK03_C1_01,QK01_C1_ew,17.06004842
AK03_C1_01,SH01_C2_04,5108.075589
AK03_C1_01,SH01_C2_07,5108.075589
AK03_C1_01,SH01_C2_12,5108.075589
AK03_C1_01,SH01_C2_17,5108.075589
AK03_C1_01,SH01_C2_19,5108.075589
AK03_C1_01,SH01_ew01,5108.075589
AK03_C1_01,SI02_C1_02,5107.773087
AK03_C1_01,SI02_C1_05,5107.773087
AK03_C1_01,SI02_C1_08,5107.773087
AK03_C1_01,SI02_C1_12,5107.773087
AK03_C1_01,SI02_C1_19,5107.773087
AK03_C1_01,SI02_C1_23,5107.773087
AK03_C1_01,SI02_C1_ew01,5107.773087
AK03_C1_01,SM22_C1_01,3133.376439
AK03_C1_01,SM22_C1_06,3133.376439
AK03_C1_01,SM22_C1_09,3133.376439
AK03_C1_01,SM22_C1_14,3133.376439
AK03_C1_01,SM22_C1_16,3133.376439
AK03_C1_01,SM22_C1_ew,3133.376439
AK03_C1_01,SYNH02_C11_01,7108.210065
AK03_C1_01,SYNH02_C11_02,7108.210065
AK03_C1_01,SYNH02_C11_03,7108.210065
AK03_C1_01,SYNH02_C11_04,7108.210065
AK03_C1_01,SYNH02_C11_05,7108.210065
AK03_C1_01,SYNH02_C11_06,7108.210065
AK03_C1_01,SYNH02_C11_07,7108.210065
AK03_C1_01,SYNH02_C11_08,7108.210065
AK03_C1_01,SYNH02_C11_09,7108.210065
AK03_C1_01,SYNH02_C11_10,7108.210065
AK03_C1_01,SYNH02_C16_01,7108.210065
AK03_C1_01,SYNH02_C4_01,7108.210065
AK03_C1_01,SYNH02_C4_03,7108.210065
AK03_C1_01,SYNH02_C4_05,7108.210065
AK03_C1_01,SYNH02_C4_06,7108.210065
AK03_C1_01,SYNH02_C4_07,7108.210065
AK03_C1_01,SYNH02_C4_08,7108.210065
AK03_C1_01,SYNH02_C4_09,7108.210065
AK03_C1_01,SYNH02_C4_10,7108.210065
AK03_C1_01,SYNH02_C4_14,7108.210065
AK03_C1_01,SYNH02_C4_18,7108.210065
AK03_C1_01,SYNH02_C4_22,7108.210065
AK03_C1_01,SYNH02_ew,7108.210065
AK03_C1_01,TA01_C1_01,2191.358636
AK03_C1_01,TA01_C1_04,2191.358636
AK03_C1_01,TA01_C1_11,2191.358636
AK03_C1_01,TA01_C1_15,2191.358636
AK03_C1_01,TA01_C1_ew,2191.358636
AK03_C1_01,TA03_C1_ew,2191.358636
AK03_C1_04,AK03_C1_08,1.05E-04
AK03_C1_04,AK03_C1_12,2.05E-04
AK03_C1_04,AK03_C1_13,2.30E-04
AK03_C1_04,AK03_C1_16,3.05E-04
AK03_C1_04,AK03_C1_19,3.80E-04
