Sample name,depth,chloride,sulfate,methane,δ13CCH4,C2H6,C3H8,C4H10,δ13CDIC,DIC,TN(%),TS(%),TOC(%),TIC(%)
AK03-C1-19-101912,2.25,506.1,0.01,0.47,NA,NA,NA,NA,NA,NA,0.083,0.1405,0.3749,2.5621
AK03-C1-18-101912,4.75,505.6,0.01,0.5,NA,NA,NA,NA,NA,NA,0.092,0.1185,0.3866,2.4804
AK03-C1-17-101912,7.25,507.7,0.01,0.38,NA,NA,NA,NA,NA,NA,0.091,0.0645,0.3039,2.2796
AK03-C1-16-101912,9.75,505.4,0.01,0.43,NA,NA,NA,NA,NA,NA,0.056,0.0545,0.233,2.135
AK03-C1-15-101912,12.25,506.5,0.01,0.39,NA,NA,NA,NA,NA,NA,0.071,0.0955,0.2857,2.4228
AK03-C1-14-101912,14.75,512.9,0.01,0.42,NA,NA,NA,NA,NA,NA,0.0536,0.0746,0.2849,2.4182
AK03-C1-13-101912,17.25,500.8,0.01,0.4,NA,NA,NA,NA,NA,NA,0.0515,0.0946,0.2503,2.6049
AK03-C1-12-101912,19.75,506.5,0.01,0.49,NA,NA,NA,NA,NA,NA,0.0549,0.1057,0.2944,2.4968
AK03-C1-11-101912,22.25,502.1,0.01,0.42,NA,NA,NA,NA,NA,NA,0.0531,0.1745,0.2716,2.4642
AK03-C1-10-101912,24.75,507.8,0.01,0.43,NA,NA,NA,NA,NA,NA,0.0554,0.0821,0.3047,2.5783
AK03-C1-9-101912,27.25,513.5,0.01,0.5,NA,NA,NA,NA,NA,NA,0.0596,0.0611,0.2969,2.5801
AK03-C1-8-101912,29.75,511,0.01,0.54,NA,NA,NA,NA,NA,NA,0.0591,0.0695,0.3218,2.5115
AK03-C1-7-101912,32.5,513.4,0.01,0.39,NA,NA,NA,NA,NA,NA,0.0579,0.0739,0.3127,2.5297
AK03-C1-6-101912,35.25,498.4,0.01,0.58,NA,NA,NA,NA,NA,NA,0.0568,0.084,0.2838,2.4365
AK03-C1-5-101912,37.75,512.3,0.01,0.45,NA,NA,NA,NA,NA,NA,0.0554,0.0686,0.2767,2.4647
AK03-C1-4-101912,40.25,509.9,0.01,0.47,NA,NA,NA,NA,NA,NA,0.0575,0.0846,0.3311,2.4125
AK03-C1-3-101912,42.75,504.9,0.01,0.38,NA,NA,NA,NA,NA,NA,0.0534,0.0789,0.3212,2.5157
AK03-C1-2-101912,45.25,505.9,0.01,0.43,NA,NA,NA,NA,NA,NA,0.0567,0.0844,0.3458,2.4345
AK03-C1-1-101912,47.75,514.3,0.01,0.13,NA,NA,NA,NA,NA,NA,0.0543,0.0793,0.3376,2.3765
