Sample name,depth,chloride,Br-,sulfate,methane,δ13CCH4 (‰),C2H6 (μM),C3H8 (μM),C-ratio,C4H10  (μM),δ13CDIC (‰),DIC(mM),TN(%),TS(%),TOC(%),TIC(%)
AR01-C1-01-060712,65.5,256.3,31.04,0.349,0.3,-44.9,0.63,0.13,389.85,0.28,21.77,52.94,0.119,0.284,0.537,1.196
AR01-C1-02-060712,62.5,250.6,31.19,0.328,0.31,-45.4,0.56,0.11,453.4,0.37,21.9,51.94,0.118,0.277,0.529,1.204
AR01-C1-03-060712,59.5,257.7,30.89,0.304,0.39,-45.3,0.65,0.13,503.61,0.42,21.91,48.71,0.113,0.291,0.51,1.24
AR01-C1-04-060712,56.5,247.7,30.19,0.268,0.29,-45.1,0.5,0.08,491.73,0.33,21.68,49.94,0.112,0.389,0.554,1.517
AR01-C1-05-060712,53.5,242,30.28,0.227,0.34,-44.8,0.5,0.07,592.8,0.43,21.61,49.55,0.116,0.299,0.56,1.423
AR01-C1-06-060712,50.5,238,29.6,0.148,0.52,-45,0.65,0.08,707.93,0.46,21.49,48.29,0.109,0.358,0.528,1.581
AR01-C1-07-060712,47.5,235,28.8,0.103,0.45,-44.8,0.55,0.06,738.61,0.41,21.31,47.96,0.118,0.282,0.628,1.124
AR01-C1-08-060712,44.5,236,29.22,0.094,0.48,-44.4,0.55,0.07,775.17,0.41,21.25,48.22,0.115,0.327,0.57,1.203
AR01-C1-09-060712,41.5,235.1,29.33,0.01,0.51,-44.2,0.57,0.06,816.66,0.46,21.26,48.71,0.116,0.329,0.566,1.219
AR01-C1-10-060712,38.5,229,28.69,0.01,0.54,-43.7,0.49,0.06,981.54,0.4,20.93,48.55,0.118,0.317,0.599,1.208
AR01-C1-11-060712,35.5,227.8,28.33,0.01,0.51,-42.6,0.46,0.07,956.69,0.23,21.18,48.67,0.118,0.333,0.621,1.19
AR01-C1-12-060712,32.5,226.1,28.36,0.01,0.61,-42.5,0.46,0.05,1199.96,0.47,21.47,46.65,0.118,0.316,0.596,1.225
AR01-C1-13-060712,29.5,231.8,28.2,0.01,0.9,-41.5,0.53,0.06,1518.38,0.35,21.64,46.75,0.127,0.271,0.629,1.184
AR01-C1-14-060712,26.5,228.6,28.4,0.01,0.63,-41.7,0.42,0.06,1336.77,0.49,21.59,45.79,0.123,0.271,0.594,1.176
AR01-C1-15-060712,23.5,225,28.94,0.01,0.85,-41.9,0.58,0.08,1284.06,0.57,21.32,45.26,0.12,0.298,0.607,1.238
AR01-C1-16-060712,20.5,237.4,31.18,0.01,0.74,-41.3,0.85,0.23,688.52,0.31,21.72,47.45,0.112,0.338,0.576,1.256
AR01-C1-17-060712,17.5,243,32.8,0.01,0.69,-41,1.03,0.31,512.9,0.57,22.1,48.44,0.115,0.257,0.669,1.212
AR01-C1-18-060712,14.5,275.2,,0.01,1.89,-40.5,2.43,1.19,522.33,0.16,22.48,46.66,0.119,0.263,0.697,1.248
AR01-C1-19-060712,11.5,286,36.22,0.01,0.88,-41,2.09,1.35,255.09,0.53,23.06,51.94,0.105,0.359,0.57,1.407
AR01-C1-20-060712,8,283.8,36.16,0.098,0.74,-43,3.2,1.23,168.22,0.28,24.38,54.21,0.119,0.278,0.612,1.165
AR01-C1-21-060712,4.5,301.4,39.01,0.134,0.75,-42.8,3.23,1.07,173.36,0.17,24.77,58.18,0.113,0.338,0.575,1.285
AR01-C1-22-060712,1.5,273.2,33.048,0.134,0.57,-42.6,1.65,0.61,252.81,0.13,22.67,52.21,0.114,0.346,0.556,1.286
AR01-ew1-060712,0,276.4,,0.418,0.84,-45.5,4.73,1.17,141.92,0.06,25.83,56.41,0.108,0.362,0.548,1.291
