Sample name,depth,chloride,sulfate,methane,δ13CCH4,C2H6,C3H8,C1-ratio,C4H10,δ13CDIC,DIC,TN(%),TS(%),TOC(%),TIC(%)
PA02-02-C1-01-060512,39,1763.4,0.01,0.03,NA,0.09,0,333.3333333,1.17,NA,NA,0.073,0.307,0.27,2.513
PA02-02-C1-02-060512,36.25,1699.1,0.01,0.03,NA,0.24,0,125,1.42,NA,NA,0.071,0.228,0.297,2.435
PA02-02-C1-03-060512,33.5,1789.9,0.01,0.03,NA,0.17,0,176.4705882,0.93,NA,NA,0.071,0.451,0.389,2.647
PA02-02-C1-04-060512,31,1737,0.01,0.04,NA,0.3,0,133.3333333,1.61,NA,NA,0.059,1.753,0.372,4.135
PA02-02-C1-05-060512,28.5,1779.4,0.01,0.03,NA,0.35,0.04,76.92307692,0.98,NA,NA,0.063,0.847,0.401,4.404
PA02-02-C1-06-060512,25.5,1699.8,0.01,0.03,NA,0.24,0.01,120,2.2,NA,NA,0.057,0.473,0.295,4.625
PA02-02-C1-07-060512,22.75,1709.3,0.01,0.03,NA,0.1,0,300,2.22,NA,NA,0.058,0.355,0.372,5.018
PA02-02-C1-08-060512,20.25,1714.1,0.01,0.03,NA,0.17,0,176.4705882,1.35,NA,NA,0.064,0.665,0.335,2.885
PA02-02-C1-09-060512,17.75,1676.9,0.01,0.02,NA,0.16,0,125,1.08,NA,NA,0.061,0.775,0.293,3.013
PA02-02-C1-10-060512,15.25,1805,0.01,0.02,NA,0.11,0,181.8181818,1.05,NA,NA,0.06,0.699,0.325,3.09
PA02-02-C1-11-060512,12.75,1836.3,0.01,0.02,NA,0.32,0,62.5,1.06,NA,NA,0.072,0.633,0.332,3.081
PA02-02-C1-12-060512,10.25,1957,0.01,0.02,NA,0.25,0,80,1.07,NA,NA,0.064,0.757,0.305,3.319
PA02-02-C1-13-060512,7.75,2013.6,0.01,0.02,NA,0.29,0,68.96551724,0.74,NA,NA,0.07,0.671,0.32,3.153
PA02-02-C1-14-060512,5.25,2005.3,0.01,0.02,NA,0.31,0,64.51612903,0.99,NA,NA,0.066,0.688,0.335,3.143
PA02-02-C1-15-060512,2.75,1700.1,0.01,0.03,NA,0.37,0,81.08108108,1.15,NA,NA,0.061,0.767,0.294,3.359
PA02-02-C1-16-060512,0.75,1314.2,0.01,0.04,NA,0.51,0,78.43137255,1.28,NA,NA,0.057,0.846,0.373,3.444
PA02-02-ew01-060512,0,1185.1,0.01,0.01,NA,0.05,0,200,0.25,NA,NA,,,,
