Sample name,depth,chloride,sulfate,methane,δ13CCH4,C2H6,C3H8,C4H10,δ13CDIC,DIC,TN(%),TS(%),TOC(%),TIC(%)
SM22-ew-082913,0,118.2,0.01,NA,-45.3,NA,NA,NA,22.99,63.83,NA,NA,NA,NA
SM22-C1-16-082913,1.25,103.5,0.01,0.53,-43.8,NA,NA,NA,NA,NA,0.0707,0.297,0.3651,1.0522
SM22-C1-15-082913,3.5,102.6,0.01,0.84,-44.7,NA,NA,NA,19.35,48.31,0.0775,0.2815,0.3194,0.9981
SM22-C1-14-082913,5.5,101.1,0.01,1.01,-44,NA,NA,NA,19.41,51.48,0.0725,0.322,0.3523,1.0517
SM22-C1-13-082913,7.5,98.8,0.01,0.91,-42.8,NA,NA,NA,19.57,45,0.0775,0.334,0.3495,1.0525
SM22-C1-12-082913,9.5,98.9,0.01,0.99,-43.7,NA,NA,NA,20.15,49.16,0.071,0.317,0.3425,1.0495
SM22-C1-11-082913,11.5,97.9,0.01,0.94,-45.3,NA,NA,NA,20.44,38.6,0.07,0.314,0.3326,1.0854
SM22-C1-10-082913,13.5,100.7,0.01,0.79,-44.5,NA,NA,NA,21.52,46.35,0.067,0.3005,0.2938,1.3712
SM22-C1-09-082913,15.5,100,0.01,0.88,-44.6,NA,NA,NA,21.41,51.04,0.0607,0.3855,0.3339,1.0731
SM22-C1-08-082913,17.5,101.6,0.01,0.73,-44.7,NA,NA,NA,22.01,53.18,0.069,0.5575,0.2918,0.944
SM22-C1-07-082913,19.5,102.9,0.01,0.82,-44.8,NA,NA,NA,22.18,43.17,0.0645,0.5565,0.253,0.914
SM22-C1-06-082913,21.5,100.6,0.01,1.47,-44.9,NA,NA,NA,22.31,60.54,0.0575,0.442,0.3009,0.9904
SM22-C1-05-082913,23.5,101.3,0.01,1.39,-45.3,NA,NA,NA,22.72,49.1,0.056,0.458,0.2597,0.8328
SM22-C1-04-082913,25.5,101.2,0.01,1.17,-42.1,NA,NA,NA,23.27,100.9,0.061,0.46,0.3038,0.8874
SM22-C1-03-082913,27.5,102.4,0.01,0.58,-45.8,NA,NA,NA,22.19,47.29,0.0565,0.589,0.2945,0.9167
SM22-C1-02-082913,29.5,101,0.01,0.82,-45.4,NA,NA,NA,22.75,55.69,0.058,0.552,0.2927,0.9103
SM22-C1-01-082913,31.5,98.3,0.01,0.51,-46.1,NA,NA,NA,20.69,3.05,0.0603,0.5315,0.3035,0.8455
