Sample name,depth,chloride,sulfate,methane,δ13CCH4,C2H6,C3H8,C-ratio,C4H10,δ13CDIC,DIC,TN(%),TS(%),TOC(%),TIC(%)
SYNH02-EW-111716,0,108.5,0.06,2.32,-35.3,47.9,13.6,37.8,NA,0.6,25.83,0.0935,0.153,0.537789761,0.565210239
SYNH02-C4-01-111716,1.2,172.1,1.16,0.14,-37,6.8,4.5,12.1,NA,3.2,32.27,0.086,0.17,0.524013719,0.572486281
SYNH02-C4-02-111716,3.5,164.2,1.2,0.2,-36.7,9.3,6.3,12.7,NA,3,35.35,NA,NA,NA,NA
SYNH02-C4-03-111716,5.7,158.1,1.25,0.35,-36.2,13.3,9.3,15.4,NA,3.2,34.44,0.0795,0.176,0.452820067,0.651679933
SYNH02-C4-04-111716,7.9,160.7,1.39,0.53,-37.9,17.5,9.8,19.6,NA,3.2,35.31,NA,NA,NA,NA
SYNH02-C4-05-111716,10.1,157.1,1.68,0.77,-40.1,19.7,9.8,26,NA,2.6,36.54,0.087,0.159,0.5192013,0.6037987
SYNH02-C4-06-111716,12.35,156.2,1.12,0.57,-42,12.4,6.2,30.6,NA,2.5,36.3,0.092,0.227,0.543432443,0.615567557
SYNH02-C4-07-111716,14.75,148.9,0.34,0.94,-43.4,14.5,7.7,42.3,NA,3,31.15,0.0815,0.176,0.461882079,0.626617921
SYNH02-C4-08-111716,17.25,127.1,0.08,1.95,-50,15.2,7.2,87.3,NA,3.9,29.62,0.065,0.157,0.311134776,0.611365224
SYNH02-C4-09-111716,19.75,124.9,0.06,3.2,-51.4,18,4.6,142.2,NA,4.8,29.54,0.0615,0.4315,0.34507366,2.07792634
SYNH02-C4-10-111716,22.25,124.2,0.04,3.98,-52.1,18.5,4.1,176,NA,5,31.03,0.0465,0.549,0.230440848,2.739059152
SYNH02-C4-11-111716,24.75,121.3,0.04,3.88,-51.2,17.2,3.7,185,NA,5,30.31,NA,NA,NA,NA
SYNH02-C4-12-111716,27.25,124.3,0.04,3.09,-51.3,16.1,3.3,160.2,NA,5.8,31.11,NA,NA,NA,NA
SYNH02-C4-13-111716,29.75,120.8,0.04,2.29,-51.8,13.8,2.8,138.1,NA,6.2,30.53,NA,NA,NA,NA
SYNH02-C4-14-111716,32.25,124.4,0.05,2.16,-51.8,11.9,2.3,152.5,NA,6.1,30.6,0.055,0.3615,0.315830732,1.982169268
SYNH02-C4-15-111716,34.75,111.9,0.04,1.8,-51.6,10.8,1.4,146.7,NA,6.4,30.38,NA,NA,NA,NA
SYNH02-C4-16-111716,37.25,119.3,0.04,2.47,-52.7,11.6,1.8,184.7,NA,7.1,29.96,NA,NA,NA,NA
SYNH02-C4-17-111716,39.75,120.5,0.02,1.47,-51.8,10.7,2.2,113.5,NA,6.7,33.63,NA,NA,NA,NA
SYNH02-C4-18-111716,42.25,117.6,0.02,2.14,-52.6,11.8,1.9,157,NA,7.6,29.82,0.0765,0.2235,0.416372887,1.249127113
SYNH02-C4-19-111716,44.75,118.4,0.02,2.73,-52.2,11,1.4,220.5,NA,8.1,29.53,NA,NA,NA,NA
SYNH02-C4-20-111716,47.25,113.8,0.02,1.7,-51.5,10.6,0.8,149.6,NA,7.9,28.26,NA,NA,NA,NA
SYNH02-C4-21-111716,49.75,120,0.05,3.2,-52.6,13.6,1,219.1,NA,7.2,34.07,0.0825,0.1705,0.519441264,0.738558736
SYNH02-C4-22-111716,51.5,NA,NA,1.55,-51.4,11,1.1,127.6,NA,NA,NA,NA,NA,NA,NA
