Sample name,depth,chloride,sulfate,methane,δ13CCH4,C2H6,C3H8,C-ratio,C4H10,δ13CDIC,DIC,TN(%),TS(%),TOC(%),TIC(%)
TA01-C1-15-090912,1.5,152.2,0.01,0.78,-35,2.77,0,281.47,0.08,NA,NA,0.0792,0.2432,0.2237,1.3799
TA01-C1-14-090912,4.5,146.5,0.01,0.85,-35.2,2.96,0.07,281.48,0,NA,NA,0.0782,0.2558,0.2234,1.3987
TA01-C1-13-090912,7.5,150.5,0.01,0.82,-35.2,2.72,0,299.89,0,NA,NA,0.0778,0.2684,0.2234,1.3624
TA01-C1-12-090912,10.5,147.3,0.01,0.89,-35.6,3.21,0.01,275.32,0.08,NA,NA,0.0791,0.244,0.2195,1.3847
TA01-C1-11-090912,13.5,148.3,0.01,0.88,-35.5,2.99,0,294.85,0.05,NA,NA,0.0781,0.2395,0.2511,1.3635
TA01-C1-10-090912,16.5,145.7,0.01,0.83,-35.6,2.91,0,283.81,0.08,NA,NA,0.0773,0.2343,0.2799,1.3439
TA01-C1-09-090912,19.5,146.1,0.01,1.02,-36,3.46,0.01,294.43,0.06,NA,NA,0.0769,0.2602,0.2347,1.381
TA01-C1-08-090912,22.5,146.1,0.01,0.88,-35.1,3.03,0.01,288.9,0,NA,NA,0.0796,0.265,0.2224,1.3705
TA01-C1-07-090912,25.5,147.7,0.01,0.97,-36.4,2.94,0,331.17,0,NA,NA,0.0785,0.2629,0.2225,1.3618
TA01-C1-06-090912,28.5,146.6,0.01,0.8,-35,2.76,0,288.34,0.08,NA,NA,0.0757,0.2763,0.2291,1.4234
TA01-C1-05-090912,31.5,148.2,0.01,0.86,-35,2.6,0,329.47,0,NA,NA,0.0777,0.2965,0.2193,1.4117
TA01-C1-04-090912,34.5,147.2,0.01,1,-35.1,3.39,0.05,290.59,0.05,NA,NA,0.0775,0.2966,0.2259,1.3995
TA01-C1-03-090912,37.5,150.5,0.01,1.01,-35.2,3.44,0,293.88,0.12,NA,NA,0.0766,0.2731,0.2305,1.3802
TA01-C1-02-090912,40.5,146.5,0.01,0.95,-36,3.24,0.02,289.73,0,NA,NA,0.0773,0.3057,0.2195,1.3754
TA01-C1-01-090912,44.5,149.8,0.01,0.92,-35.6,3.2,0.03,284.85,0.1,NA,NA,0.0813,0.2493,0.224,1.3958
