Sample name,depth,chloride,sulfate,methane,δ13CCH4,C2H6,C3H8,C1-ratio,C4H10,δ13CDIC,DIC,TN(%),TS(%),TOC(%),TIC(%)
GJ01-ew01-091611,0,NA,0,0.72,-43.7,3,1.6,156.5217391,NA,NA,NA,0.0567,0.2304,0.8094,1.6242
GJ01-C1-18-091611,0.5,283.5,0,0.57,-43.9,2.6,1.5,139.0243902,NA,NA,NA,0.06,0.2725,0.5161,1.8229
GJ01-C1-17-091611,2.24,283.6,0,0.63,-43.6,2.8,1.6,143.1818182,NA,NA,NA,0.1145,0.159,1.7973,1.2812
GJ01-C1-16-091611,4.75,265.2,0,0.57,-43.6,2.7,1.7,129.5454545,NA,NA,NA,0.088,0.153,1.7353,1.2927
GJ01-C1-15-091611,7.25,255.4,0,0.45,-42.9,2.1,1.2,136.3636364,NA,NA,NA,0.074,0.198,1.1135,1.511
GJ01-C1-14-091611,9.75,257.2,0,0.62,-42.1,2.6,1.4,155,NA,NA,NA,0.073,0.218,1.2157,1.5388
GJ01-C1-13-091611,12.25,257.9,0,0.54,-43,2.2,1.1,163.6363636,NA,NA,NA,0.067,0.2195,1.023,1.57
GJ01-C1-12-091611,14.75,254.6,0,0.52,-42.9,2.4,1.3,140.5405405,NA,NA,NA,0.0865,0.1555,1.5902,1.2758
GJ01-C1-11-091611,17.25,255.7,0,0.5,-43.1,2.5,1.4,128.2051282,NA,NA,NA,0.0775,0.1875,1.31,1.4355
GJ01-C1-10-091611,19.75,261.1,0,0.57,-43,2.4,1.2,158.3333333,NA,NA,NA,0.083,0.175,1.4603,1.3562
GJ01-C1-09-091611,22.25,254,0,0.67,-42.7,2.8,1.3,163.4146341,NA,NA,NA,0.0655,0.2225,1.023,1.581
GJ01-C1-08-091611,24.75,256.8,0,0.54,-43.1,2.3,1,163.6363636,NA,NA,NA,0.074,0.2135,1.2885,1.4805
GJ01-C1-07-091611,27.25,266.8,0,0.55,-42.5,2.1,0.9,183.3333333,NA,NA,NA,0.0685,0.226,1.185,1.5275
GJ01-C1-06-091611,29.75,257.1,0,0.49,-41.7,2.1,1.1,153.125,NA,NA,NA,0.0605,0.2755,0.9625,1.6245
GJ01-C1-05-091611,32.25,268.2,0,0.5,-39.3,2.2,1.2,147.0588235,NA,NA,NA,0.057,0.299,0.9332,1.6693
GJ01-C1-04-091611,34.75,262,0,0.44,-40.6,2,1.2,137.5,NA,NA,NA,0.054,0.292,0.8256,1.6849
GJ01-C1-03-091611,37.25,249.1,0,0.19,-41.4,1.5,1.2,70.37037037,NA,NA,NA,0.058,0.2925,0.9751,1.6294
GJ01-C1-02-091611,39.75,251.2,0,0.21,-42,1.4,0.9,91.30434783,NA,NA,NA,0.056,0.285,0.9209,1.6786
GJ01-C1-01-091611,42.25,249.9,0,0.5,-45.573,1.689,0.848,197.0831691,NA,NA,NA,0.064,0.2605,1.2186,1.5324
