Sample name,depth,chloride,sulfate,methane,δ13CCH4,C2H6,C3H8,C-ratio,C4H10,δ13CDIC,DIC,TN(%),TS(%),TOC(%),TIC(%)
LGH03-c4-01-070711,2.5,369.6,0.01,0.39,-49.4,1.76,1.13,133.61,0.66,-5.39,1.94,0.0835,0.2231,0.4352,0.3898
LGH03-c4-02-070711,7.5,448.6,0.01,0.59,-52.7,2.38,1.2,163.82,0.69,-3.23,1.82,0.0795,0.2375,0.4339,0.3656
LGH03-c4-03-070711,12.5,364.7,0.01,0.58,-55.2,2.06,1.41,165.81,1.24,-3.43,1.64,0.077,0.2107,0.4597,0.3403
LGH03-c4-04-070711,17.5,366.8,0.01,0.5,-57.7,1.66,0.9,194.45,0.81,-4.55,1.61,0.0795,0.2035,0.8596,0.0279
LGH03-c4-05-070711,22.5,376.5,0.01,0.67,-57.7,2.03,0.81,236.6,0.75,-4.22,1.77,0.0825,0.1957,0.4392,0.3333
LGH03-c4-06-070711,27.5,373,0.01,0.69,-58.9,3,0.79,181.36,0.77,-3.71,1.45,0.088,0.16,0.5046,0.4084
LGH03-c4-07-070711,32.5,369.5,0.01,0.71,-57.5,3.98,0.96,143.6,1.09,-3.81,1.57,0.0785,0.2525,0.3687,0.3828
LGH03-c4-08-070711,37.5,428,0.01,0.81,-57.2,4.7,1.15,138.56,0.7,-2.05,1.31,0.08,0.1855,0.4277,0.3858
LGH03-c4-09-070711,42.5,391.6,0.01,0.89,-56.9,5.83,1.56,120.88,1.38,-3.68,1.13,0.0855,0.198,0.4293,0.3407
LGH03-c4-10-070711,47.5,397.6,0.01,0.88,-56.6,3.28,0.97,207.96,0.72,-2.36,1.1,0.084,0.1675,0.4418,0.3792
LGH03-c4-11-070711,52.5,345.9,0.01,1.09,-56.4,6.47,0.97,146.07,0.8,-2.41,1.21,0.081,0.1852,0.4558,0.3087
LGH03-c4-12-070711,57.5,362,0.01,0.96,-56,5.75,0.76,147.71,0.96,-1.82,1.33,0.0835,0.1815,0.4154,0.3926
LGH03-c4-13-070711,62.5,370.3,0.01,0.99,-55.7,6.57,1.05,129.89,1.58,-1.25,1.27,0.084,0.1837,0.4639,0.3011
LGH03-c4-21-070711,62.5,404.5,0.01,1.11,-55.3,6.48,1.37,141.39,,-1.21,1.24,0.0755,0.2171,0.4197,0.3288
LGH03-c4-22-070711,67.5,391.8,0.01,1.1,-54.9,8.23,1.27,115.93,2.59,-2.76,0.92,0.0805,0.1725,0.4457,0.3633
LGH03-c4-15-070711,72.5,374.4,0.01,1.03,-55.2,7.04,0.67,133.88,0.93,-0.55,1.01,0.0905,0.1652,0.4544,0.3131
LGH03-c4-23-070711,72.5,393.4,0.01,1.31,-54.9,8.79,1.23,130.66,2.46,-0.6,1.04,0.08,0.1921,0.4324,0.3496
LGH03-c4-16-070711,77.5,375.9,0.01,1.08,-55.9,6.81,1.3,133.51,1.69,-1.58,1.18,0.084,0.1845,0.4361,0.3819
LGH03-c4-24-070711,77.5,383.7,0.01,1.15,-55.2,8.27,1.23,120.75,2.06,-1.03,0.86,0.081,0.166,0.5527,0.2653
LGH03-c4-17-070711,82.5,375.3,0.01,1.07,-56.2,7.27,0.82,132.11,1.11,-3.72,1.17,0.086,0.1768,0.471,0.302
LGH03-c4-25-070711,82.5,381.1,0.01,1.11,-55.4,8.11,1.16,119.41,NA,-1.18,0.82,0.088,0.1841,0.4542,0.3078
LGH03-c4-18-070711,87.5,389.4,0.01,1.11,-56.5,6.56,1.24,142.11,1.81,-2.58,1.42,0.086,0.1645,0.4655,0.3725
LGH03-c4-26-070711,87.5,388.2,0.01,0.99,-55,7.91,1.15,109.34,2.21,-0.55,0.91,0.084,0.167,0.4469,0.3546
LGH03-c4-19-070711,92.5,386.6,0.01,1.15,-56.6,7.61,1.46,127.28,2.12,-1.8,1.39,0.0855,0.1791,0.469,0.307
LGH03-c4-27-070711,92.5,382.8,0.01,1.21,-54.8,8.31,1.59,121.89,2.53,-1.01,0.89,0.0875,0.1848,0.4584,0.3246
LGH03-c4-20-070711,97.5,372.7,0.01,1.07,-56.5,6.95,1.11,133.2,NA,-1.5,1.06,0.083,0.168,0.4393,0.3747
LGH03-c4-28-070711,97.5,384.3,0.01,1.05,-55.2,3.27,1.12,239.96,NA,0.1,0.92,0.084,0.1655,0.4846,0.3349
