Sample name,depth,chloride,sulfate,methane,δ13CCH4,C2H6,C3H8,C1-ratio,C4H10,δ13CDIC,DIC,TN(%),TS(%),TOC(%),TIC(%)
QK01-C1-01-091711,20.75,188.5,0,0.71,-48.1,3.9,2.6,109.2307692,NA,NA,NA,0.0855,0.3715,1.1904,1.7871
QK01-C1-02-091711,18.75,196.2,0,0.73,-47.8,3.8,2.3,119.6721311,NA,NA,NA,0.0875,0.3385,1.3792,1.9133
QK01-C1-03-091711,17.25,201.5,0,0.77,-47.8,4.1,2.7,113.2352941,NA,NA,NA,0.0855,0.361,1.4569,1.9481
QK01-C1-04-091711,15.75,206.8,0,0.89,-47.8,4.1,2.3,139.0625,NA,NA,NA,0.0865,0.7235,1.7055,1.9495
QK01-C1-05-091711,14.25,196.9,0,0.79,-47.6,3.9,2.4,125.3968254,NA,NA,NA,0.0865,0.2875,1.7121,1.9609
QK01-C1-06-091711,12.75,193.1,0,0.89,-47.8,4.6,2.8,120.2702703,NA,NA,NA,0.089,0.285,1.6253,1.8632
QK01-C1-07-091711,11.25,196.7,0,0.97,-47.2,4.2,2.3,149.2307692,NA,NA,NA,0.0915,0.3905,1.697,1.783
QK01-C1-08-091711,9.75,200.8,0,0.85,-47.2,4.3,2.6,123.1884058,NA,NA,NA,0.091,0.3755,1.7672,1.8368
QK01-C1-09-091711,8.25,244,0,0.82,-46.6,4.1,2.4,126.1538462,NA,NA,NA,0.087,0.211,1.5965,1.999
QK01-C1-10-091711,6.75,267.7,0,0.8,-45,3.9,2.4,126.984127,NA,NA,NA,0.086,0.1295,1.6228,2.0142
QK01-C1-11-091711,5.25,308.2,0,0.64,-42.7,3.3,2.3,114.2857143,NA,NA,NA,0.0845,0.126,1.8099,2.0776
QK01-C1-12-091711,3.75,538.9,0,0.74,-38.5,3.7,2.7,115.625,NA,NA,NA,0.0875,0.087,2.2982,1.9608
QK01-C1-13-091711,2.25,370.6,0,1.92,-35.9,3.3,2.3,342.8571429,NA,NA,NA,0.0935,0.0945,2.5611,2.0769
QK01-C1-14-091711,0.75,789.2,0,0.39,-34.1,3.2,3,62.90322581,NA,NA,NA,0.0985,0.149,2.2379,2.6131
QK01-ew01-091711,0,NA,0,1.13,-49.1,2.5,1,322.8571429,NA,NA,NA,0.084,0.3395,1.6349,1.4736
