SampleID,sample_name,core,site,Location,NA,Depth,Longitude,Latitude,Sulfate,Chloride,Methane,TN,TS,TOC,TIC
AK03_C1_01,AK03_48cm,Georgia-AK03,Georgia-AK,Georgia,no,47.8,45.91322,41.41953,0,514.3,3.63E-05,0.0543,0.0793,0.3376,2.3765
AK03_C1_04,AK03_40cm,Georgia-AK03,Georgia-AK,Georgia,no,40.3,45.91322,41.41953,0,509.9,0.000137249,0.0575,0.0846,0.3311,2.4125
AK03_C1_08,AK03_30cm,Georgia-AK03,Georgia-AK,Georgia,no,29.8,45.91322,41.41953,0,511,0.000151564,0.0591,0.0695,0.3218,2.5115
AK03_C1_12,AK03_20cm,Georgia-AK03,Georgia-AK,Georgia,no,19.8,45.91322,41.41953,0,506.5,0.000162788,0.0549,0.1057,0.2944,2.4968
AK03_C1_13,AK03_C1_17cm,Georgia-AK03,Georgia-AK,Georgia,no,17.3,45.91322,41.41953,0,500.8,0.000124788,0.0515,0.0946,0.2503,2.6049
AK03_C1_16,AK03_C1_10cm,Georgia-AK03,Georgia-AK,Georgia,no,9.8,45.91322,41.41953,0,505.4,0.00012892,0.056,0.0545,0.233,2.135
AK03_C1_19,AK03_C1_2cm,Georgia-AK03,Georgia-AK,Georgia,no,2.3,45.91322,41.41953,0,506.1,0.000179149,0.083,0.1405,0.3749,2.5621
AK03_C1_ew,AK03_C1_ew,Georgia-AK03,Georgia-AK,Georgia,no,0.0,45.91322,41.41953,0,402.7,0.000404738,0.083,0.1345,0.3292,2.2208
GJ01_C1_01,GJ01_C1_42cm,Georgia-GJ01,Georgia-GJ,Georgia,no,42.3,45.79261,41.74531,0,249.9,3.60E-04,0.064,0.2605,1.2186,1.5324
GJ01_C1_05,GJ01_C1_32cm,Georgia-GJ01,Georgia-GJ,Georgia,no,32.3,45.79261,41.74531,0,268.2,2.24E-04,0.057,0.299,0.9332,1.6693
GJ01_C1_11,GJ01_C1_17cm,Georgia-GJ01,Georgia-GJ,Georgia,no,17.3,45.79261,41.74531,0,255.7,3.32E-04,0.0775,0.1875,1.31,1.4355
GJ01_C1_15,GJ01_C1_7cm,Georgia-GJ01,Georgia-GJ,Georgia,no,7.3,45.79261,41.74531,0,255.4,2.48E-04,0.074,0.198,1.1135,1.511
GJ01_C1_17,GJ01_C1_2cm,Georgia-GJ01,Georgia-GJ,Georgia,no,2.2,45.79261,41.74531,0,283.6,9.40E-05,0.1145,0.159,1.7973,1.2812
GJ01_C1_18,GJ01_C1_1cm,Georgia-GJ01,Georgia-GJ,Georgia,no,0.5,45.79261,41.74531,0,283.5,1.03E-04,0.06,0.2725,0.5161,1.8229
GJ01_C1_ew01,GJ01_C1_ew,Georgia-GJ01,Georgia-GJ,Georgia,no,0.0,45.79261,41.74531,0,283.5,2.48E-04,0.0567,0.2304,0.8094,1.6242
QK01_biofilm,QK01_biofilm,Georgia-QK01,Georgia-QK,Georgia,yes,0.0,45.80564,41.28905,0,NA,NA,NA,NA,NA,NA
QK01_C1_01,QK01_C1_21cm,Georgia-QK01,Georgia-QK,Georgia,no,20.8,45.80564,41.28905,0,188.5,0.000355474,0.0855,0.3715,1.1904,1.7871
QK01_C1_04,QK01_C1_16cm,Georgia-QK01,Georgia-QK,Georgia,no,15.8,45.80564,41.28905,0,206.8,0.000445685,0.0865,0.7235,1.7055,1.9495
QK01_C1_08,QK01_C1_10cm,Georgia-QK01,Georgia-QK,Georgia,no,9.8,45.80564,41.28905,0,200.8,0.000422528,0.091,0.3755,1.7672,1.8368
QK01_C1_12,QK01_C1_4cm,Georgia-QK01,Georgia-QK,Georgia,no,3.8,45.80564,41.28905,0,538.9,0.000368435,0.0875,0.087,2.2982,1.9608
QK01_C1_13,QK01_C1_2cm,Georgia-QK01,Georgia-QK,Georgia,no,2.3,45.80564,41.28905,0,370.6,0.000954465,0.0935,0.0945,2.5611,2.0769
QK01_C1_14,QK01_C1_1cm,Georgia-QK01,Georgia-QK,Georgia,no,0.8,45.80564,41.28905,0,789.2,0.000195797,0.0985,0.149,2.2379,2.6131
QK01_C1_ew,QK01_C1_ew,Georgia-QK01,Georgia-QK,Georgia,yes,0.0,45.80564,41.28905,0,NA,0.000559191,0.084,0.3395,1.6349,1.4736
QK01_mat,QK01_mat,Georgia-QK01,Georgia-QK,Georgia,yes,0.0,45.80564,41.28905,0,NA,0,NA,NA,NA,NA
QK01_oil,QK01_oil,Georgia-QK01,Georgia-QK,Georgia,yes,0.0,45.80564,41.28905,0,NA,0,NA,NA,NA,NA
GG01_C1_0,GG01_C1_0cm,Iran-GG01,Iran-GG,Iran,no,0.0,54.39608,37.11856,248.34,4688.6,0.01,0.034,1.402,0.323,0.922
GG01_C1_02,GG01_C1_42cm,Iran-GG01,Iran-GG,Iran,no,41.8,54.39608,37.11856,288.11,3850.3,3.78E-06,0.0821,1.974,0.4837,1.3032
GG01_C1_06,GG01_C1_32cm,Iran-GG01,Iran-GG,Iran,no,31.8,54.39608,37.11856,241.8,3549,2.83E-06,0.0725,1.998,0.4786,1.3702
GG01_C1_13,GG01_C1_14cm,Iran-GG01,Iran-GG,Iran,no,14.3,54.39608,37.11856,225.6,3273.3,3.58E-06,0.0586,2.055,0.3889,1.4939
GG01_C1_19,GG01_C1_1cm,Iran-GG01,Iran-GG,Iran,no,0.3,54.39608,37.11856,190.63,4890.4,0,0.031,2.149,0.137,1.561
GG01_C1_ss01,GG01_C1_ss01,Iran-GG01,Iran-GG,Iran,no,0.0,54.39608,37.11856,220.57,4778.8,0,0.033,2.915,0.16,1.182
GG01_C1_sw01,GG01_C1_sw01,Iran-GG01,Iran-GG,Iran,yes,0.0,54.39608,37.11856,220.57,4778.8,0,NA,NA,NA,NA
TA01_C1_01,TA01_C1_45cm,Iran-TA01,Iran-TA,Iran,no,44.5,59.93306,25.46697,0,149.8,0,0.0795,0.1965,0.4183,1.0522
TA01_C1_04,TA01_C1_35cm,Iran-TA01,Iran-TA,Iran,no,34.5,59.93306,25.46697,0,147.2,3.29E-04,0.0775,0.2966,0.2259,1.3995
TA01_C1_11,TA01_C1_14cm,Iran-TA01,Iran-TA,Iran,no,13.5,59.93306,25.46697,0,148.3,2.86E-04,0.0781,0.2395,0.2511,1.3635
TA01_C1_15,TA01_C1_2cm,Iran-TA01,Iran-TA,Iran,no,1.5,59.93306,25.46697,0,152.2,2.48E-04,0.0792,0.2432,0.2237,1.3799
TA01_C1_ew,TA01_C1_ew,Iran-TA01,Iran-TA,Iran,no,0.0,59.93306,25.46697,0,143.6,0.00E+00,0.056,0.332,0.163,1.7778
TA03_C1_ew,TA03_C1_ew,Iran-TA03,Iran-TA,Iran,no,0.0,59.93306,25.46697,0,146,0.00E+00,0.061,0.2875,0.1742,1.7666
SH01_C2_04,SH01_C2_34cm,Myanmar-SH01,Myanmar-SH,Myanmar,no,34.0,93.57119,19.36975,11.48,120.5,5.25E-05,0.0843,0.2802,0.4832,0.5771
SH01_C2_07,SH01_C2_28cm,Myanmar-SH01,Myanmar-SH,Myanmar,no,28.0,93.57119,19.36975,12.57,118.3,2.87E-05,0.0874,0.3148,0.4715,0.4886
SH01_C2_12,SH01_C2_18cm,Myanmar-SH01,Myanmar-SH,Myanmar,no,17.5,93.57119,19.36975,1.48,102.8,9.45E-05,0.0858,0.3095,0.4867,0.4733
SH01_C2_17,SH01_C2_8cm,Myanmar-SH01,Myanmar-SH,Myanmar,no,7.5,93.57119,19.36975,1.98,85.8,0.000160543,0.0782,0.3168,0.468,0.4756
