site,Sulfate,Chloride,Methane,TN,TS,TOC,TIC
AK03_C1_01,0,514.3,3.63E-05,0.0543,0.0793,0.3376,2.3765
AK03_C1_04,0,509.9,0.000137249,0.0575,0.0846,0.3311,2.4125
AK03_C1_08,0,511,0.000151564,0.0591,0.0695,0.3218,2.5115
AK03_C1_12,0,506.5,0.000162788,0.0549,0.1057,0.2944,2.4968
AK03_C1_13,0,500.8,0.000124788,0.0515,0.0946,0.2503,2.6049
AK03_C1_16,0,505.4,0.00012892,0.056,0.0545,0.233,2.135
AK03_C1_19,0,506.1,0.000179149,0.083,0.1405,0.3749,2.5621
AK03_C1_ew,0,402.7,0.000404738,0.083,0.1345,0.3292,2.2208
AR01_C1_01,0.349,256.3,0.000135912,0.119,0.284,0.537,1.196
AR01_C1_02,0.328,250.6,0.000137605,0.118,0.277,0.529,1.204
AR01_C1_05,0.227,242,0.000163828,0.116,0.299,0.56,1.423
AR01_C1_09,0,235.1,0.00028932,0.116,0.329,0.566,1.219
AR01_C1_13,0,231.8,0.000552532,0.127,0.271,0.629,1.184
AR01_C1_17,0,243,0.00046946,0.115,0.257,0.669,1.212
AR01_C1_18,0,275.2,0.001261046,0.119,0.263,0.697,1.248
AR01_C1_19,0,286,0.000504431,0.105,0.359,0.57,1.407
AR01_C1_22,0.134,273.2,0.000350649,0.114,0.346,0.556,1.286
AR01_C1_ew,0.418,276.4,0.000581866,0.108,0.362,0.548,1.291
COM01_C1_01,0.125,245.4,0.000258,0.098,0.324,0.541,2.131
COM01_C1_02,0.099,242.7,0.000352,0.092,0.495,0.525,2.271
COM01_C1_04,0.114,230.8,0.000265,0.104,0.491,0.528,2.07
COM01_C1_05,0.09,240.9,0.000223,0.097,0.386,0.53,2.124
COM01_C1_08,0,241.5,0.000323,0.089,0.516,0.471,2.07
COM01_C1_11,0,238.4,0.000286,0.069,1.11,0.404,1.971
COM01_C1_14,0,234,0.00027,0.086,0.845,0.459,2.31
COM01_C1_15,0,250.8,0.00027,0.085,0.815,0.479,2.278
COM01_C1_17,0,270.7,0.000696,0.087,0.683,0.486,2.322
COM01_C1_18,0.051,299.1,0.000641,0.093,0.582,0.498,2.247
COM01_ew1,0,226.9,0.00085,0.079,0.979,0.453,2.307
DSZ01_C1_01,1.23,212.5,4.14E-05,0.091,0.536,0.578,2.285
DSZ01_C1_02,0.91,98.5,0.000109,0.0297,0.182,0.558,0.882
DSZ01_C1_03,2.45,236.6,2.43E-05,0.0308,0.1485,0.477,0.8012
DSZ01_C1_06,0.59,210.1,0.000104,0.053,0.0985,0.5713,1.258
DSZ01_C1_08,4.6,229.8,0.000112,0.0425,0.0995,0.5088,1.1416
DSZ01_C1_10,16.51,245.5,7.39E-05,0.0477,0.1218,0.5356,1.0277
GG01_C1_0,248.34,4688.6,0.01,0.034,1.402,0.323,0.922
GG01_C1_02,288.11,3850.3,3.78E-06,0.0821,1.974,0.4837,1.3032
GG01_C1_06,241.8,3549,2.83E-06,0.0725,1.998,0.4786,1.3702
GG01_C1_13,225.6,3273.3,3.58E-06,0.0586,2.055,0.3889,1.4939
GG01_C1_19,190.63,4890.4,0,0.031,2.149,0.137,1.561
GJ01_C1_01,0,249.9,0.00036,0.064,0.2605,1.2186,1.5324
GJ01_C1_05,0,268.2,0.000224,0.057,0.299,0.9332,1.6693
GJ01_C1_11,0,255.7,0.000332,0.0775,0.1875,1.31,1.4355
GJ01_C1_15,0,255.4,0.000248,0.074,0.198,1.1135,1.511
GJ01_C1_17,0,283.6,9.40E-05,0.1145,0.159,1.7973,1.2812
GJ01_C1_18,0,283.5,0.000103,0.06,0.2725,0.5161,1.8229
GJ01_C1_ew01,0,283.5,0.000248,0.0567,0.2304,0.8094,1.6242
LGH03_C4_01,0,369.6,0.000104,0.0835,0.2231,0.4352,0.3898
LGH03_C4_02,0,448.6,0.000133,0.0795,0.2375,0.4339,0.3656
LGH03_C4_03,0,364.7,0.000136,0.077,0.2107,0.4597,0.3403
LGH03_C4_04,0,366.8,0.000124,0.0795,0.2035,0.8596,0.0279
LGH03_C4_06,0,373,0.000162,0.088,0.16,0.5046,0.4084
LGH03_C4_10,0,397.6,0.000185,0.084,0.1675,0.4418,0.3792
LGH03_C4_14,0,369.7,0.000232,0.0785,0.169,0.4129,0.3966
LGH03_C4_18,0,389.4,0.000238,0.086,0.1645,0.4655,0.3725
LGH03_C4_30,0,402.6,0.00025,0.084,0.162,0.4976,0.3229
LGH03_C4_34,0,401.8,0.000264,0.0775,0.1765,0.4524,0.3566
LGH03_C4_40,0,368.4,0.000286,0.084,0.177,0.481,0.3405
PA01_C1_01,0,1054.3,0,0.068,0.28,0.33,1.993
PA01_C1_05,0,1091,0,0.077,0.285,0.379,1.95
PA01_C1_09,0,1063.2,0,0.08,0.255,0.37,2.008
PA01_C1_12,0,1071.9,0,0.079,0.22,0.413,1.926
PA01_C1_13,0,1060,0,0.079,0.294,0.401,1.93
PA01_C1_15,0,1075.3,0,0.078,0.224,0.416,1.916
PA01_C1_16,0,1075.1,0,0.083,0.212,0.417,1.891
PA01_C1_18,0,1175.9,0,0.086,0.212,0.444,1.938
PA02_C1_01,0,1763.4,7.62E-06,0.073,0.307,0.27,2.513
PA02_C1_04,0,1737,9.06E-06,0.059,1.753,0.372,4.135
PA02_C1_07,0,1709.3,9.02E-06,0.058,0.355,0.372,5.018
PA02_C1_11,0,1836.3,6.45E-06,0.072,0.633,0.332,3.081
PA02_C1_14,0,2005.3,6.48E-06,0.066,0.688,0.335,3.143
PA02_C1_16,0,1314.2,9.88E-06,0.057,0.846,0.373,3.444
QK01_C1_01,0,188.5,0.000355474,0.0855,0.3715,1.1904,1.7871
QK01_C1_04,0,206.8,0.000445685,0.0865,0.7235,1.7055,1.9495
QK01_C1_08,0,200.8,0.000422528,0.091,0.3755,1.7672,1.8368
QK01_C1_12,0,538.9,0.000368435,0.0875,0.087,2.2982,1.9608
QK01_C1_13,0,370.6,0.000954465,0.0935,0.0945,2.5611,2.0769
QK01_C1_14,0,789.2,0.000195797,0.0985,0.149,2.2379,2.6131
SH01_C2_04,11.48,120.5,5.25E-05,0.0843,0.2802,0.4832,0.5771
SH01_C2_07,12.57,118.3,2.87E-05,0.0874,0.3148,0.4715,0.4886
SH01_C2_12,1.48,102.8,9.45E-05,0.0858,0.3095,0.4867,0.4733
SH01_C2_17,1.98,85.8,0.000160543,0.0782,0.3168,0.468,0.4756
SH01_C2_19,1.99,88.1,0.000132265,0.0773,0.3234,0.4784,0.4623
SH01_ew01,1.58,88.7,0.000144477,0.0974,0.3291,0.4616,0.4659
SI02_C1_02,1.32,90.1,0.000165,0.0795,0.3242,0.4211,0.4389
SI02_C1_05,1.82,82.4,0.000179,0.0811,0.3593,0.3908,0.4584
SI02_C1_08,2.08,86,0.000287,0.0823,0.3453,0.4441,0.4412
SI02_C1_12,1.43,85.2,0.000264,0.0761,0.3155,0.424,0.509
SI02_C1_19,1.94,86.2,0.000311,0.0876,0.3054,0.4246,0.5555
SI02_C1_23,1.83,89.3,0.000242,0.0851,0.3382,0.4304,0.4832
SI02_C1_ew01,0.73,82.6,0.000152,0.0872,0.307,0.4261,0.5283
SM22_C1_01,0,98.3,0.000209,0.0603,0.5315,0.3035,0.8455
SM22_C1_06,0,100.6,0.000644,0.0575,0.442,0.3009,0.9904
SM22_C1_09,0,100,0.000405,0.0607,0.3855,0.3339,1.0731
SM22_C1_14,0,101.1,0.000472,0.0725,0.322,0.3523,1.0517
SM22_C1_16,0,103.5,0.000227,0.0707,0.297,0.3651,1.0522
SM22_C1_ew,0,118.2,0,0.075,0.4375,1.005374407,0.905125593
SYNH02_C11_01,3.59,238.67,0.000153,0.117,0.136,0.675,0.518
SYNH02_C11_02,0.91,149.4,0.000171,0.146,0.113,0.806,0.535
SYNH02_C11_03,0.64,138.35,0.000241,0.152,0.116,0.876,0.499
SYNH02_C11_04,0.39,134.33,0.000204,0.148,0.122,0.999,0.346
SYNH02_C11_05,0.36,126.39,0.000239,0.105,0.131,0.666,0.472
SYNH02_C11_06,0.33,131.6,0.000235,0.123,0.109,0.751,0.493
SYNH02_C11_07,0.42,132.53,0.000268,0.115,0.112,0.681,0.502
SYNH02_C11_08,0.38,109.83,0.000336,0.096,0.118,0.515,0.541
SYNH02_C11_09,0.4,125.34,0.000363,0.124,0.118,0.706,0.524
SYNH02_C11_10,0.34,106.12,0.000291,0.114,0.112,0.646,0.479
SYNH02_C16_01,0.04,92.75,0.000477,0.0935,0.153,0.537789761,0.565210239
SYNH02_C4_01,1.16,172.1,5.69E-05,0.086,0.17,0.524013719,0.572486281
SYNH02_C4_03,1.25,158.1,0.000134,0.0795,0.176,0.452820067,0.651679933
SYNH02_C4_05,1.68,157.1,0.000248,0.087,0.159,0.5192013,0.6037987
SYNH02_C4_06,1.12,156.2,0.000265,0.092,0.227,0.543432443,0.615567557
SYNH02_C4_07,0.34,148.9,0.000241,0.0815,0.176,0.461882079,0.626617921
SYNH02_C4_08,0.08,127.1,0.000572,0.065,0.157,0.311134776,0.611365224
SYNH02_C4_09,0.06,124.9,0.000751,0.0615,0.4315,0.34507366,2.07792634
SYNH02_C4_10,0.04,124.2,0.000825,0.0465,0.549,0.230440848,2.739059152
SYNH02_C4_14,0.05,124.4,0.000693,0.055,0.3615,0.315830732,1.982169268
SYNH02_C4_18,0.02,117.6,0.000622,0.0765,0.2235,0.416372887,1.249127113
SYNH02_C4_22,0.05,120,0.000403,0.0825,0.1705,0.519441264,0.738558736
SYNH02_ew,0.06,108.5,0.001,0.0935,0.153,0.537789761,0.565210239
TA01_C1_01,0,149.8,0,0.0795,0.1965,0.4183,1.0522
TA01_C1_04,0,147.2,0.000329,0.0775,0.2966,0.2259,1.3995
TA01_C1_11,0,148.3,0.000286,0.0781,0.2395,0.2511,1.3635
TA01_C1_15,0,152.2,0.000248,0.0792,0.2432,0.2237,1.3799
TA01_C1_ew,0,143.6,0,0.056,0.332,0.163,1.7778
TA03_C1_ew,0,146,0,0.061,0.2875,0.1742,1.7666
