site1,site2,geodist,Ed,sor
AK03_C1_01,AK03_C1_04,7.50E-05,0.985312817,0.348474754
AK03_C1_01,AK03_C1_08,0.00018,0.975007405,0.205708278
AK03_C1_01,AK03_C1_12,0.00028,0.982260836,0.176290406
AK03_C1_01,AK03_C1_13,0.000305,0.967974741,0.171678318
AK03_C1_01,AK03_C1_16,0.00038,0.965794167,0.167355133
AK03_C1_01,AK03_C1_19,0.000455,0.879151459,0.158653511
AK03_C1_01,AK03_C1_ew,0.0004775,0.87821811,0.161073578
AK03_C1_01,AR01_C1_01,NA,NA,NA
AK03_C1_01,AR01_C1_02,NA,NA,NA
AK03_C1_01,AR01_C1_05,NA,NA,NA
AK03_C1_01,AR01_C1_09,NA,NA,NA
AK03_C1_01,AR01_C1_13,NA,NA,NA
AK03_C1_01,AR01_C1_17,NA,NA,NA
AK03_C1_01,AR01_C1_18,NA,NA,NA
AK03_C1_01,AR01_C1_19,NA,NA,NA
AK03_C1_01,AR01_C1_22,NA,NA,NA
AK03_C1_01,AR01_C1_ew,NA,NA,NA
AK03_C1_01,COM01_C1_01,NA,NA,NA
AK03_C1_01,COM01_C1_02,NA,NA,NA
AK03_C1_01,COM01_C1_04,NA,NA,NA
AK03_C1_01,COM01_C1_05,NA,NA,NA
AK03_C1_01,COM01_C1_08,NA,NA,NA
AK03_C1_01,COM01_C1_11,NA,NA,NA
AK03_C1_01,COM01_C1_14,NA,NA,NA
AK03_C1_01,COM01_C1_15,NA,NA,NA
AK03_C1_01,COM01_C1_17,NA,NA,NA
AK03_C1_01,COM01_C1_18,NA,NA,NA
AK03_C1_01,COM01_ew1,NA,NA,NA
AK03_C1_01,DSZ01_C1_01,NA,NA,NA
AK03_C1_01,DSZ01_C1_02,NA,NA,NA
AK03_C1_01,DSZ01_C1_03,NA,NA,NA
AK03_C1_01,DSZ01_C1_06,NA,NA,NA
AK03_C1_01,DSZ01_C1_08,NA,NA,NA
AK03_C1_01,DSZ01_C1_10,NA,NA,NA
AK03_C1_01,GG01_C1_0,NA,NA,NA
AK03_C1_01,GG01_C1_02,NA,NA,NA
AK03_C1_01,GG01_C1_06,NA,NA,NA
AK03_C1_01,GG01_C1_13,NA,NA,NA
AK03_C1_01,GG01_C1_19,NA,NA,NA
AK03_C1_01,GJ01_C1_01,NA,NA,NA
AK03_C1_01,GJ01_C1_05,NA,NA,NA
AK03_C1_01,GJ01_C1_11,NA,NA,NA
AK03_C1_01,GJ01_C1_15,NA,NA,NA
AK03_C1_01,GJ01_C1_17,NA,NA,NA
AK03_C1_01,GJ01_C1_18,NA,NA,NA
AK03_C1_01,GJ01_C1_ew01,NA,NA,NA
AK03_C1_01,LGH03_C4_01,NA,NA,NA
AK03_C1_01,LGH03_C4_02,NA,NA,NA
AK03_C1_01,LGH03_C4_03,NA,NA,NA
AK03_C1_01,LGH03_C4_04,NA,NA,NA
AK03_C1_01,LGH03_C4_06,NA,NA,NA
AK03_C1_01,LGH03_C4_10,NA,NA,NA
AK03_C1_01,LGH03_C4_14,NA,NA,NA
AK03_C1_01,LGH03_C4_18,NA,NA,NA
AK03_C1_01,LGH03_C4_30,NA,NA,NA
AK03_C1_01,LGH03_C4_34,NA,NA,NA
AK03_C1_01,LGH03_C4_40,NA,NA,NA
AK03_C1_01,PA01_C1_01,NA,NA,NA
AK03_C1_01,PA01_C1_05,NA,NA,NA
AK03_C1_01,PA01_C1_09,NA,NA,NA
AK03_C1_01,PA01_C1_12,NA,NA,NA
AK03_C1_01,PA01_C1_13,NA,NA,NA
AK03_C1_01,PA01_C1_15,NA,NA,NA
AK03_C1_01,PA01_C1_16,NA,NA,NA
AK03_C1_01,PA01_C1_18,NA,NA,NA
AK03_C1_01,PA02_C1_01,NA,NA,NA
AK03_C1_01,PA02_C1_04,NA,NA,NA
AK03_C1_01,PA02_C1_07,NA,NA,NA
AK03_C1_01,PA02_C1_11,NA,NA,NA
AK03_C1_01,PA02_C1_14,NA,NA,NA
AK03_C1_01,PA02_C1_16,NA,NA,NA
AK03_C1_01,QK01_C1_01,NA,NA,NA
AK03_C1_01,QK01_C1_04,NA,NA,NA
AK03_C1_01,QK01_C1_08,NA,NA,NA
AK03_C1_01,QK01_C1_12,NA,NA,NA
AK03_C1_01,QK01_C1_13,NA,NA,NA
AK03_C1_01,QK01_C1_14,NA,NA,NA
AK03_C1_01,SH01_C2_04,NA,NA,NA
AK03_C1_01,SH01_C2_07,NA,NA,NA
AK03_C1_01,SH01_C2_12,NA,NA,NA
AK03_C1_01,SH01_C2_17,NA,NA,NA
AK03_C1_01,SH01_C2_19,NA,NA,NA
AK03_C1_01,SH01_ew01,NA,NA,NA
AK03_C1_01,SI02_C1_02,NA,NA,NA
AK03_C1_01,SI02_C1_05,NA,NA,NA
AK03_C1_01,SI02_C1_08,NA,NA,NA
AK03_C1_01,SI02_C1_12,NA,NA,NA
AK03_C1_01,SI02_C1_19,NA,NA,NA
AK03_C1_01,SI02_C1_23,NA,NA,NA
AK03_C1_01,SI02_C1_ew01,NA,NA,NA
AK03_C1_01,SM22_C1_01,NA,NA,NA
AK03_C1_01,SM22_C1_06,NA,NA,NA
AK03_C1_01,SM22_C1_09,NA,NA,NA
AK03_C1_01,SM22_C1_14,NA,NA,NA
AK03_C1_01,SM22_C1_16,NA,NA,NA
AK03_C1_01,SM22_C1_ew,NA,NA,NA
AK03_C1_01,SYNH02_C11_01,NA,NA,NA
AK03_C1_01,SYNH02_C11_02,NA,NA,NA
AK03_C1_01,SYNH02_C11_03,NA,NA,NA
AK03_C1_01,SYNH02_C11_04,NA,NA,NA
AK03_C1_01,SYNH02_C11_05,NA,NA,NA
AK03_C1_01,SYNH02_C11_06,NA,NA,NA
AK03_C1_01,SYNH02_C11_07,NA,NA,NA
AK03_C1_01,SYNH02_C11_08,NA,NA,NA
AK03_C1_01,SYNH02_C11_09,NA,NA,NA
AK03_C1_01,SYNH02_C11_10,NA,NA,NA
AK03_C1_01,SYNH02_C16_01,NA,NA,NA
AK03_C1_01,SYNH02_C4_01,NA,NA,NA
AK03_C1_01,SYNH02_C4_03,NA,NA,NA
AK03_C1_01,SYNH02_C4_05,NA,NA,NA
AK03_C1_01,SYNH02_C4_06,NA,NA,NA
AK03_C1_01,SYNH02_C4_07,NA,NA,NA
AK03_C1_01,SYNH02_C4_08,NA,NA,NA
AK03_C1_01,SYNH02_C4_09,NA,NA,NA
AK03_C1_01,SYNH02_C4_10,NA,NA,NA
AK03_C1_01,SYNH02_C4_14,NA,NA,NA
AK03_C1_01,SYNH02_C4_18,NA,NA,NA
AK03_C1_01,SYNH02_C4_22,NA,NA,NA
AK03_C1_01,SYNH02_ew,NA,NA,NA
AK03_C1_01,TA01_C1_01,NA,NA,NA
AK03_C1_01,TA01_C1_04,NA,NA,NA
AK03_C1_01,TA01_C1_11,NA,NA,NA
AK03_C1_01,TA01_C1_15,NA,NA,NA
AK03_C1_01,TA01_C1_ew,NA,NA,NA
AK03_C1_01,TA03_C1_ew,NA,NA,NA
AK03_C1_04,AK03_C1_08,0.000105,0.987342346,0.226621402
AK03_C1_04,AK03_C1_12,0.000205,0.983511534,0.207692934
AK03_C1_04,AK03_C1_13,0.00023,0.964326028,0.196320427
AK03_C1_04,AK03_C1_16,0.000305,0.964126952,0.176592661
AK03_C1_04,AK03_C1_19,0.00038,0.89281522,0.169965518
AK03_C1_04,AK03_C1_ew,0.0004025,0.891291387,0.193041516
AK03_C1_04,AR01_C1_01,NA,NA,NA
